artist_name,track_name,album_name,release_year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Taylor Swift,Begin Again (Taylor's Version),Red (Taylor's Version),12/11/21,0.075,0.519,0.527,0,0.132,-7.673,0.0274,78.915,0.267,73,238866
Taylor Swift,The Moment I Knew (Taylor's Version),Red (Taylor's Version),12/11/21,0.0494,0.636,0.402,0,0.107,-7.855,0.031,125.952,0.208,69,285280
Taylor Swift,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),12/11/21,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,0.399,73,223333
Taylor Swift,Girl At Home (Taylor's Version),Red (Taylor's Version),12/11/21,0.00955,0.691,0.736,1.88E-05,0.101,-6.974,0.0326,125.089,0.612,68,220520
Taylor Swift,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),12/11/21,0.663,0.445,0.131,1.57E-06,0.108,-13.778,0.0564,208.918,0.101,67,321640
Taylor Swift,Ronan (Taylor's Version),Red (Taylor's Version),12/11/21,0.661,0.623,0.279,0,0.193,-10.802,0.031,116.04,0.38,65,264253
Taylor Swift,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/21,0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,0.255,73,297013
Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor__ Version) (From The Vault),Red (Taylor's Version),12/11/21,0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,0.446,78,258812
Taylor Swift,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/21,0.0538,0.584,0.743,2.83E-06,0.121,-7.075,0.0931,167.844,0.746,73,224240
Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/21,0.00188,0.622,0.791,3.72E-06,0.083,-6.106,0.0535,115.915,0.494,74,225960
Taylor Swift,I Bet You Think About Me (feat. Chris Stapleton) (Taylor__ Version) (From The Vault),Red (Taylor's Version),12/11/21,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,76,285106
Taylor Swift,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/21,0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,0.41,70,263533
Taylor Swift,Run (feat. Ed Sheeran) (Taylor__ Version) (From The Vault),Red (Taylor's Version),12/11/21,0.817,0.61,0.488,0,0.312,-6.918,0.0293,125.039,0.443,71,240226
