artist_name,album_release_year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_name,album_name,key_mode
Taylor Swift,2021,0.642,0.695,7,-5.62,0.0281,0.000443,1.02E-05,0.0753,0.642,103.984,230960,FALSE,22 (Taylor's Version),Red (Taylor's Version),G major
Taylor Swift,2021,0.511,0.559,4,-6.587,0.0264,0.0167,0,0.113,0.248,145.88,244586,FALSE,I Almost Do (Taylor's Version),Red (Taylor's Version),E major
Taylor Swift,2021,0.567,0.686,7,-6.139,0.175,0.0317,1.86E-06,0.0732,0.716,172.014,193146,FALSE,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),G major
Taylor Swift,2021,0.693,0.681,0,-7.039,0.025,0.0848,0,0.0768,0.663,100.02,205786,FALSE,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),C major
Taylor Swift,2021,0.502,0.534,2,-5.954,0.0278,0.0399,0,0.0977,0.155,94.05,299080,FALSE,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version),Red (Taylor's Version),D major
Taylor Swift,2021,0.622,0.809,9,-5.623,0.0638,0.0288,0.00218,0.109,0.511,156.894,202960,FALSE,Holy Ground (Taylor's Version),Red (Taylor's Version),A major
Taylor Swift,2021,0.601,0.406,7,-11.827,0.0275,0.622,9.19E-05,0.133,0.232,130.059,284773,FALSE,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),G major
Taylor Swift,2021,0.686,0.571,4,-7.138,0.05,0.066,0,0.0608,0.538,117.889,240466,FALSE,The Lucky One (Taylor's Version),Red (Taylor's Version),E major
Taylor Swift,2021,0.498,0.61,6,-5.098,0.0363,0.271,0,0.223,0.474,79.918,245426,FALSE,Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),Red (Taylor's Version),F# major
Taylor Swift,2021,0.628,0.685,4,-5.864,0.0358,0.00324,0,0.18,0.605,126.014,220413,FALSE,Starlight (Taylor's Version),Red (Taylor's Version),E major
Taylor Swift,2021,0.519,0.527,7,-7.673,0.0274,0.075,0,0.132,0.267,78.915,238866,FALSE,Begin Again (Taylor's Version),Red (Taylor's Version),G major
Taylor Swift,2021,0.636,0.402,7,-7.855,0.031,0.0494,0,0.107,0.208,125.952,285280,FALSE,The Moment I Knew (Taylor's Version),Red (Taylor's Version),G major
